customer_id,customer_name,customer_age,email,phone,registration_date,country,sales,product_category,customer_satisfaction,is_premium
1,Customer 1,38.656604957053176,invalid_email_format,,2020-01-01,USA,60.9085470341258,Electronics,4.0,True
2,Customer 2,22.520190725114055,invalid_email_format,+1-555-0002,2020-01-02,Germany,57.91698012626028,Books,3.0,False
3,Customer 3,,invalid_email_format,+1-555-0003,2020-01-03,Canada,55.93673129950639,Sports,5.0,False
4,Customer 4,46.286776596694565,invalid_email_format,+1-555-0004,2020-01-04,UK,98.33595048547767,Clothing,2.0,False
5,Customer 5,11.587577736153964,invalid_email_format,+1-555-0005,2020-01-05,Germany,213.04666770945678,Books,4.0,True
6,Customer 6,19.373845917652183,invalid_email_format,+1-555-0006,2020-01-06,Canada,239.69763364878855,Sports,,True
7,Customer 7,36.53408483800742,invalid_email_format,+1-555-0007,2020-01-07,Canada,161.1599308455183,Home,5.0,False
8,Customer 8,31.205088891877015,invalid_email_format,+1-555-0008,2020-01-08,Canada,184.34303085633107,Electronics,4.0,False
9,Customer 9,34.79838610994853,invalid_email_format,+1-555-0009,2020-01-09,UK,247.91701334250072,Books,3.0,True
10,Customer 10,24.763472869117038,invalid_email_format,+1-555-0010,2020-01-10,USA,18.926688535113456,Electronics,5.0,False
11,Customer 11,45.55277569835394,customer11@email.com,+1-555-0011,2020-01-11,UNKNOWN,195.31591589059823,Clothing,5.0,False
12,Customer 12,44.33350322514738,customer12@email.com,+1-555-0012,2020-01-12,UNKNOWN,399.90819725673396,Clothing,4.0,False
13,Customer 13,35.79236837073459,customer13@email.com,+1-555-0013,2020-01-13,UNKNOWN,143.51015322934984,Home,5.0,True
14,Customer 14,48.526894483616395,customer14@email.com,+1-555-0014,2020-01-14,UNKNOWN,348.35140120970806,Electronics,3.0,False
15,Customer 15,40.61011210702455,customer15@email.com,+1-555-0015,2020-01-15,UNKNOWN,145.62316466772137,Clothing,4.0,False
16,Customer 16,24.688490445401143,customer16@email.com,+1-555-0016,2020-01-16,UNKNOWN,259.7333737579726,Clothing,5.0,False
17,Customer 17,39.425009408989986,customer17@email.com,+1-555-0017,2020-01-17,UNKNOWN,209.88468253648392,Clothing,3.0,True
18,Customer 18,23.493408790052015,customer18@email.com,+1-555-0018,2020-01-18,UNKNOWN,56.98132362482055,Home,4.0,False
19,Customer 19,45.54140361568727,customer19@email.com,+1-555-0019,2020-01-19,UNKNOWN,70.95480137311849,Clothing,5.0,False
20,Customer 20,34.400889068164965,customer20@email.com,+1-555-0020,2020-01-20,UNKNOWN,449.0777203649693,Clothing,5.0,False
21,Customer 21,32.781651637456875,customer21@email.com,+1-555-0021,2020-01-21,France,300.31579945832533,Books,5.0,False
22,Customer 22,26.828845467152703,customer22@email.com,+1-555-0022,2020-01-22,UK,153.48051702815079,Home,4.0,False
23,Customer 23,49.67049606408836,customer23@email.com,+1-555-0023,2020-01-23,France,137.9430311481148,Electronics,5.0,False
24,Customer 24,33.145646215174374,customer24@email.com,+1-555-0024,2020-01-24,USA,82.9885204831739,Sports,3.0,True
25,Customer 25,29.860066134042714,customer25@email.com,+1-555-0025,2020-01-25,USA,223.11841421906382,Sports,4.0,False
26,Customer 26,30.774397394141246,customer26@email.com,+1-555-0026,2020-01-26,Germany,89.55322458267683,Home,4.0,True
27,Customer 27,41.38771022664018,customer27@email.com,+1-555-0027,2020-01-27,France,123.79696806546102,Books,5.0,False
28,Customer 28,39.385328772368936,customer28@email.com,+1-555-0028,2020-01-28,France,97.99417631616927,Home,5.0,False
29,Customer 29,39.95279133915186,customer29@email.com,+1-555-0029,2020-01-29,Germany,287.4308776695753,Books,4.0,True
30,Customer 30,40.169852036094596,customer30@email.com,+1-555-0030,2020-01-30,UK,148.5424135209375,Clothing,4.0,True
31,Customer 31,60.69977121044553,customer31@email.com,+1-555-0031,2020-01-31,France,185.3913042149189,Clothing,4.0,True
